cr_year,issn_l,oa_all,n,prop
2018,0021-9916,5,87,0.05747126436781609
2018,0021-9924,3,52,0.057692307692307696
2018,0021-9967,15,208,0.07211538461538461
2018,0021-9975,2,245,0.00816326530612245
2018,0021-9991,31,649,0.04776579352850539
2018,0022-0000,1,67,0.014925373134328358
2018,0022-006X,1,131,0.007633587786259542
2018,0022-0078,1,62,0.016129032258064516
2018,0022-0094,3,82,0.036585365853658534
2018,0022-0116,6,34,0.17647058823529413
2018,0022-0175,5,59,0.0847457627118644
2018,0022-0248,7,416,0.016826923076923076
2018,0022-0272,6,52,0.11538461538461539
2018,0022-0299,2,98,0.02040816326530612
2018,0022-0388,13,159,0.08176100628930817
2018,0022-0396,5,428,0.011682242990654205
2018,0022-0477,20,207,0.0966183574879227
2018,0022-0493,15,431,0.03480278422273782
2018,0022-0531,7,133,0.05263157894736842
2018,0022-0736,4,338,0.011834319526627219
2018,0022-0795,14,125,0.112
2018,0022-0833,6,32,0.1875
2018,0022-0949,3,654,0.0045871559633027525
2018,0022-0957,293,457,0.6411378555798687
2018,0022-0965,7,196,0.03571428571428571
2018,0022-0981,4,141,0.028368794326241134
2018,0022-1007,29,223,0.13004484304932734
2018,0022-1031,6,155,0.03870967741935484
2018,0022-1082,1,101,0.009900990099009901
2018,0022-1112,6,308,0.01948051948051948
2018,0022-1120,62,935,0.06631016042780749
2018,0022-1139,4,196,0.02040816326530612
2018,0022-1147,6,381,0.015748031496062992
2018,0022-1155,8,532,0.015037593984962405
2018,0022-1198,5,254,0.01968503937007874
2018,0022-1201,1,86,0.011627906976744186
2018,0022-1236,1,204,0.004901960784313725
2018,0022-1309,1,24,0.041666666666666664
2018,0022-149X,4,120,0.03333333333333333
2018,0022-1503,5,70,0.07142857142857142
2018,0022-152X,1,349,0.0028653295128939827
2018,0022-1686,6,109,0.05504587155963303
2018,0022-1694,47,892,0.052690582959641255
2018,0022-1759,23,154,0.14935064935064934
2018,0022-1791,5,31,0.16129032258064516
2018,0022-1821,1,25,0.04
2018,0022-1899,103,649,0.15870570107858242
2018,0022-1910,8,128,0.0625
2018,0022-1996,9,92,0.09782608695652174
2018,0022-2011,3,136,0.022058823529411766
2018,0022-202X,35,625,0.056
2018,0022-2151,2,240,0.008333333333333333
2018,0022-2291,18,284,0.06338028169014084
2018,0022-2313,7,864,0.008101851851851851
2018,0022-2372,4,168,0.023809523809523808
2018,0022-2380,8,67,0.11940298507462686
2018,0022-2445,9,94,0.09574468085106383
2018,0022-2461,61,1300,0.04692307692307692
2018,0022-247X,6,944,0.006355932203389831
2018,0022-2496,1,42,0.023809523809523808
2018,0022-2526,2,39,0.05128205128205128
2018,0022-2585,11,237,0.046413502109704644
2018,0022-2593,1,133,0.007518796992481203
2018,0022-2631,9,47,0.19148936170212766
2018,0022-2720,12,103,0.11650485436893204
2018,0022-278X,4,77,0.05194805194805195
2018,0022-2828,27,462,0.05844155844155844
2018,0022-2836,58,396,0.14646464646464646
2018,0022-2844,6,55,0.10909090909090909
2018,0022-2860,3,1209,0.0024813895781637717
2018,0022-2879,7,119,0.058823529411764705
2018,0022-2895,1,51,0.0196078431372549
2018,0022-3018,3,165,0.01818181818181818
2018,0022-3042,19,238,0.07983193277310924
2018,0022-3050,2,520,0.0038461538461538464
2018,0022-3069,7,129,0.05426356589147287
2018,0022-3093,9,598,0.015050167224080268
2018,0022-3115,26,728,0.03571428571428571
2018,0022-3131,1,118,0.00847457627118644
2018,0022-314X,3,256,0.01171875
2018,0022-3166,41,323,0.12693498452012383
2018,0022-3239,10,252,0.03968253968253968
2018,0022-328X,3,510,0.0058823529411764705
2018,0022-3344,1,67,0.014925373134328358
2018,0022-3360,11,111,0.0990990990990991
2018,0022-3417,43,172,0.25
2018,0022-3433,5,65,0.07692307692307693
2018,0022-3468,1,541,0.0018484288354898336
2018,0022-3476,16,888,0.018018018018018018
2018,0022-3484,6,105,0.05714285714285714
